"ham","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
"ham","Ok lar... Joking wif u\noni..."
"spam","Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
"ham","U dun say so early hor... U c already then say..."
"ham","Nah I don't\nthink he goes to usf, he lives around here though"
"spam","FreeMsg Hey there\ndarling it's been 3 week's now and no word back! I'd like some fun you up for it\nstill? Tb ok! XxX std chgs to send, Â£1.50 to rcv"
"ham","Even my brother is not"
"ham","A gram usually runs like  &lt;#&gt; ,\na half eighth is smarter though and gets you almost a whole second gram for \n&lt;#&gt;"
"spam","SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice\nHockey. Correct or Incorrect? End? Reply END SPTV"
"ham","Do you know what Mallika\nSherawat did yesterday? Find out now @  &lt;URL&gt;"
"spam","Congrats! 1 year\nspecial cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3,\nStarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
